what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1330047735781
stopped,bundle,net.rim.ejde.designer,1.0.0.r35x201008041452,"net.rim.ejde.designer",1330047735781
stopped,bundle,com.instantiations.designer.core.apiImpl,7.6.0.r35x201008040432,"com.instantiations.designer.core.apiImpl",1330047735812
stopped,bundle,com.instantiations.designer.os.win32,7.6.0.r35x201008040432,"com.instantiations.designer.os.win32",1330047735812
stopped,bundle,com.instantiations.designer.core,7.6.0.r35x201008040432,"com.instantiations.designer.core",1330047735812
stopped,bundle,com.instantiations.eclipse.ui,7.6.0.r35x201007290412,"com.instantiations.eclipse.ui",1330047735812
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1330047735812
stopped,bundle,org.eclipse.pde.api.tools,1.0.101.v20090714,"org.eclipse.pde.api.tools",1330047735859
stopped,bundle,org.eclipse.pde.ds.ui,1.0.0.v20100209-maintenance,"org.eclipse.pde.ds.ui",1330047735890
stopped,bundle,org.eclipse.pde.ds.core,1.0.1.v20100118,"org.eclipse.pde.ds.core",1330047735937
stopped,bundle,org.eclipse.pde.ua.ui,1.0.0.v20090511,"org.eclipse.pde.ua.ui",1330047735984
stopped,bundle,org.eclipse.pde.ua.core,1.0.0.v20090429-1800,"org.eclipse.pde.ua.core",1330047736015
stopped,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1330047736046
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1330047736062
stopped,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1330047736093
stopped,bundle,com.instantiations.tools,5.6.0.r35x201007231308,"com.instantiations.tools",1330047736125
stopped,bundle,net.rim.ejde.guibuilder.render5.0,2.0.0.201008051045-14,"net.rim.ejde.guibuilder.render5.0",1330047736406
stopped,bundle,org.eclipse.pde.runtime,3.4.100.v20090731,"org.eclipse.pde.runtime",1330047736406
stopped,bundle,com.android.ide.eclipse.hierarchyviewer,15.0.0.v201110251216-213216,"com.android.ide.eclipse.hierarchyviewer",1330047736406
